SCHOOL_DSTRCT_NM,SCHOOL_DSTRCT_CD,PERCENT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE_Per Student,Federal_Revenues_Dollars per FTE_Per Student,General Administration_Expenditures_Dollars per FTE_Per Student,Instruction_Expenditures_Dollars per FTE_Per Student,Instructional Support_Expenditures_Dollars per FTE_Per Student,Local_Revenues_Dollars per FTE_Per Student,Maintenance and Operations_Expenditures_Dollars per FTE_Per Student,Media_Expenditures_Dollars per FTE_Per Student,Other_Revenues_Dollars per FTE_Per Student,Pupil Services_Expenditures_Dollars per FTE_Per Student,Renovation and Capital Projects_Expenditures_Dollars per FTE_Per Student,School Administration_Expenditures_Dollars per FTE_Per Student,School food Services_Expenditures_Dollars per FTE_Per Student,State Other_Revenues_Dollars per FTE_Per Student,State QBE_Revenues_Dollars per FTE_Per Student,Transportation_Expenditures_Dollars per FTE_Per Student,SAT Combined Score,Labels,Labels,FIPS,Latitude,Longitude
Butts County,618,87.76,40.79928422,18.2,3558,58.7,33.1,8.3,9.1,1.9,43.45076784,49.52,0,0,308.7891596,5622.669317,411.7546178,3499.756925,601.0653682,139.2046768,0,480.7842608,0,770.0071051,11.37974986,92.4687493,5486.227656,574.6987605,0,0,0.091304103,1.6625267,0.121748173,1.034820124,0.17772344,0.041160764,0,0.142158516,0,0.227678471,0.00336425,0.027341203,1.622183811,0.169929736,971,16,0,13035,,
Calhoun City,765,100,23.78810595,20.5,4186,63.1,30.2,6.7,6.9,1.833333333,39.0736342,52.43,11.00164835,11.94151935,240.4514405,5092.902499,440.3192236,3793.905908,771.3121214,91.41068562,60.52078356,461.2245485,0,522.613698,7.767623029,103.6155781,5323.523172,234.4967391,0.002625418,0.002849976,0.057386527,1.215489728,0.10508839,0.905465839,0.184085045,0.021815576,0.014443383,0.110076445,0,0.124727664,0.001853798,0.024730053,1.270530339,0.055965122,1033,16,0,13037,,
Calhoun County,619,92.86,68.63905325,19.41111111,520,62.9,29.4,7.7,5.6,1.833333333,55.24861878,28.3,0,0,1566.315,5902.095,546.4217308,5580.420673,1256.423288,310.8903654,2.832923077,294.4524423,173.0769231,1216.295654,7.169576923,468.3069808,6978.788462,878.9374038,0,0,3.059211538,11.52753846,1.067230769,10.89925,2.453942308,0.607211538,0.005538462,0.575096154,0.338038462,2.375576923,0.014,0.914653846,13.63044231,1.716673077,866,13,6,,34.50169,-84.939697
Camden County,620,95.64,22.27277772,20.8,9771,61,32,7,7.4,0.8,32.38666431,48.68,0,534.2016979,118.5164405,5607.970289,476.829782,2708.084705,722.6213294,175.0101924,0,356.8586337,0,627.08895,4.278293931,126.799085,6014.283185,406.1033722,0,0.059118821,0.013116365,0.62062532,0.052770443,0.29969911,0.079971344,0.01936854,0,0.039493399,0,0.069399243,0.000473851,0.014032341,0.665591035,0.044943199,1055,10,7,13039,,
Candler County,621,96.21,46.12810707,17.9,2240,68.5,27.4,4.1,5.4,1.833333333,40.03717472,43.75,0,0,396.6093884,5456.776804,251.6835804,2331.964804,607.640875,146.5770045,0,263.7173973,0,658.293692,7.462558036,205.8160134,6485.248661,522.6418393,0,0,0.188504464,2.593526786,0.119620536,1.108348214,0.288803571,0.069665179,0,0.125339286,0,0.312875,0.003544643,0.097821429,3.08234375,0.248401786,1011,11,13,13043,,
Carroll County,622,95.08,30.55054777,19.9,15579,56.7,35.7,7.6,8.5,1.2,37.08142009,56.65,25.75289685,3.580776687,179.4703062,5942.093969,240.8134803,2739.858705,799.122307,153.0510713,6.080459593,300.791002,0.590538545,737.3570666,4.663278773,180.3597375,6232.965274,529.8494775,0.001769048,0.000245844,0.01232685,0.408139162,0.016540214,0.188189871,0.054888632,0.010512228,0.00041787,0.020659863,4.04E-05,0.050646383,0.000320303,0.012388472,0.428117979,0.036393222,1013,5,15,13045,,
Carrollton City,766,90.67,30.57663126,20.9,5527,64.4,29.5,6,6.1,0.9,37.43640243,61.46,0,104.4843496,388.4737127,5569.474921,364.8269441,3226.220554,763.3295658,95.6411869,0,161.8818238,0,702.507941,8.694307943,121.6633834,5418.857789,326.0725674,0,0.019410168,0.072167541,1.034640854,0.067774561,0.599334178,0.141803872,0.017767324,0,0.030072372,0,0.130504795,0.001615705,0.022601773,1.006661842,0.060575357,1039,16,0,,33.584045,-85.10112
Cartersville City,767,90.53,23.98760788,21,4772,68.4,27.2,4.4,5,0.8,33.21347464,57.41,0,0,295.6612573,5922.931077,426.2338055,3794.847919,672.1491178,67.61466262,1.436714166,459.0800524,25.14668902,516.5462531,5.315106873,97.59074811,5307.805323,387.7464145,0,0,0.063541492,1.272927494,0.091603101,0.815569992,0.144455155,0.014530595,0.000308047,0.098663034,0.005404443,0.11101425,0.001142079,0.020974434,1.140727158,0.083331936,1049,16,9,,34.16608,-84.800613
Catoosa County,623,89.61,22.17649311,19.9,10977,62.1,30.8,7.1,7.2,2,24.59838677,49.36,0,0,207.5626938,6866.333976,301.2729899,3094.30455,859.5147927,166.8120115,0.892014212,443.7117163,0,760.7122256,5.3321044,157.8790152,7056.044092,519.0636822,0,0,0.019786827,0.654559534,0.028720051,0.29497677,0.081936777,0.015902341,8.47E-05,0.042298442,0,0.072517992,0.000508336,0.01505056,0.672644621,0.049481643,1056,10,7,13047,,
Charlton County,624,90.91,33.85678392,19.41111111,1712,58.8,33.1,8.1,8.5,1.833333333,26.710403,41.57,0,65.33002336,462.6613551,5819.980304,300.6356834,3210.851197,935.3405257,288.0271379,87.61682243,440.7004089,0,782.3306308,4.792283879,232.0209871,6375.813668,580.0196145,0,0.040882009,0.289526869,3.642038551,0.188130841,2.009293224,0.585321262,0.180239486,0.054830607,0.27578271,0,0.489567757,0.002996495,0.145192757,3.989871495,0.36296729,966,11,13,13049,,
