SCHOOL_DSTRCT_NM,SCHOOL_DSTRCT_CD,TOTAL_Grad_Rate,PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Lottery_Revenues_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE_Per Student,Federal_Revenues_Dollars per FTE_Per Student,General Administration_Expenditures_Dollars per FTE_Per Student,Instruction_Expenditures_Dollars per FTE_Per Student,Instructional Support_Expenditures_Dollars per FTE_Per Student,Local_Revenues_Dollars per FTE_Per Student,Maintenance and Operations_Expenditures_Dollars per FTE_Per Student,Media_Expenditures_Dollars per FTE_Per Student,Other_Revenues_Dollars per FTE_Per Student,Pupil Services_Expenditures_Dollars per FTE_Per Student,Renovation and Capital Projects_Expenditures_Dollars per FTE_Per Student,School Administration_Expenditures_Dollars per FTE_Per Student,School food Services_Expenditures_Dollars per FTE_Per Student,State Lottery_Revenues_Dollars per FTE_Per Student,State Other_Revenues_Dollars per FTE_Per Student,State QBE_Revenues_Dollars per FTE_Per Student,Transportation_Expenditures_Dollars per FTE_Per Student,SAT Combined Score,Labels
Chattahoochee County,626,87,93.55,93,30.87557604,21.35454545,973,52.3,41.3,6.4,8.8,2.287288136,55.86242884,37.78,0.0,1450.530647,1042.087975,4880.17815,196.8102158,1717.190781,883.7649126,104.2438541,0.0,368.498407,0.0,786.936372,8.578633094,0,555.8821172,7266.797533,460.5804214,0.0,1.652086331,1.18688592,5.558293936,0.224162384,1.955796506,1.006567318,0.118725591,0.0,0.419701953,0.0,0.896279548,0.009773895,0,0.633124358,8.276536485,0.524583762,1048.509554,5
Chattooga County,627,121,79.61,152,53.45309381,20.5,2700,21.1,35.2,43.7,40.0,4.5,35.57712456,45.6,0.0,2.801851852,314.8824667,6262.513596,435.8797926,3024.499515,727.0792889,189.233963,2.724277778,354.5693963,0.0,672.6216222,10.42064444,0,169.431237,6882.821111,257.9560852,0.0,0.001111111,0.124755556,2.481185185,0.172692593,1.198296296,0.288066667,0.074974074,0.001077778,0.140477778,0.0,0.266488889,0.00412963,0,0.06712963,2.726948148,0.1022,1048.509554,13
Cherokee County,628,2917,90.82,3212,12.46599848,23.8,43636,36.8,36.7,26.5,24.7,1.6,29.57829896,61.84,0.26965831,4.562521771,140.6051769,6618.099773,500.6838603,4826.173169,696.9285514,112.9491869,15.20164658,404.3102853,5.850975571,616.7754732,10.83682922,0,108.225259,5026.315428,522.4193952,6.42e-06,0.000108626,0.00334609,0.157491292,0.011914703,0.114848749,0.01658493,0.002687918,0.000361857,0.009621414,0.000139334,0.014677331,0.000257815,0,0.002575396,0.119611559,0.012431937,1129.0,9
Chickamauga City,769,102,100.0,102,10.54718477,21.4,1297,65.9,28.2,5.9,5.0,2.287288136,18.04156328,67.33,0.0,1.996260601,627.0895991,5496.768882,147.404495,2249.572436,1087.158358,159.6159753,5.34309946,415.2396762,0.0,713.5062914,9.573153431,0,60.6841249,6933.399383,121.2254742,0.0,0.001580571,0.495327679,4.341842714,0.116430224,1.77691596,0.858735544,0.126075559,0.004217425,0.327995374,0.0,0.563592907,0.007563608,0,0.047933693,5.476615266,0.095751735,1048.509554,5
Clarke County,629,629,79.82,788,44.53554222,22.6,12634,49.6,22.9,27.5,30.3,2.2,47.17313728,46.29,0.0,5.715227165,268.488941,7751.207902,861.1912973,7807.834099,1054.747362,160.068003,0.0,578.1739758,0.0,782.9230521,6.066868767,0,138.6038388,5588.566012,552.4010955,0.0,0.00047016,0.02206902,0.637120469,0.070786766,0.641774577,0.086696217,0.013157353,0.0,0.047524141,0.0,0.064353332,0.000498654,0,0.011393066,0.459359664,0.045405256,1069.0,6
Clay County,630,0,0.0,0,84.06593407,21.35454545,185,37.8,33.0,29.2,26.5,2.287288136,61.26819923,0.0,0.0,792.5189189,2282.986324,7558.102162,1262.377027,9176.044378,1705.382973,421.7525946,0.0,657.8732432,0.0,2362.804703,464.6631892,0,808.2591351,9055.47027,1634.198486,0.0,4.260864865,12.27410811,40.63497297,6.786972973,49.33356757,9.168702703,2.267513514,0.0,3.536972973,0.0,12.70324324,2.498216216,0,4.345459459,48.6852973,8.786,1048.509554,10
Clayton County,631,2859,75.98,3763,51.19925302,19.2,55318,51.8,22.0,26.2,26.9,4.7,42.1119403,36.24,0.0,11.02213222,219.9595159,5460.670216,659.1990412,3224.765445,510.7228493,119.8885272,0.0,392.3920286,0.0,639.7932901,4.828816841,0,33.74052261,5941.795148,149.5054915,0.0,0.00020807,0.00415109,0.103054883,0.012440616,0.060858491,0.009638454,0.002262555,0.0,0.007405365,0.0,0.01207437,9.11e-05,0,0.000636682,0.112134748,0.002821505,977.0,1
Clinch County,632,76,86.36,88,44.77124183,21.35454545,1307,45.9,40.4,13.7,13.3,2.7,27.35911271,38.67,0.0,2.054705432,433.6088982,5734.702089,318.3829992,4702.775991,911.992961,159.8307116,0.0,751.3244912,0.0,468.1981637,8.23517215,0,146.622632,6469.157613,582.0395256,0.0,0.001667942,0.351958684,4.654789594,0.258431523,3.817192043,0.740252487,0.129732211,0.0,0.609839327,0.0,0.380030604,0.00668707,0,0.119013007,5.250941086,0.472433053,939.0,16
Cobb County,633,7791,87.2,8935,19.47177385,24.3,114145,68.5,19.8,11.7,13.2,3.2,30.41117499,57.9,0.0,46.32030882,187.5399433,6440.257431,372.4471414,5453.804715,669.0293141,150.497846,2.093981164,287.8234167,15.84589776,672.0271711,4.179445267,0,81.10372149,4816.740672,425.1916949,0.0,0.000421919,0.001708353,0.058665119,0.003392702,0.049679443,0.006094266,0.001370888,1.91e-05,0.002621841,0.000144378,0.0061216,3.81e-05,0,0.000738797,0.043876298,0.003873144,1144.0,8
Coffee County,634,422,88.66,476,49.51185495,19.8,7743,45.4,36.5,18.1,18.3,1.7,32.35698492,50.69,0.0,90.68028413,207.0461449,5810.194953,351.5495183,2184.940176,612.9491179,189.0317048,3.560041328,523.6670347,0.0,540.1149516,6.952799948,0,106.0855082,6802.037841,455.0622666,0.0,0.012364717,0.02823066,0.792227819,0.047933617,0.297919411,0.083576133,0.025774248,0.0004856,0.071402557,0.0,0.073645874,0.000947953,0,0.014464678,0.927466098,0.062048302,1027.0,0
