LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2018-19,608,Bartow County,105,Adairsville High School,Chemistry,TFS,,
2018-19,608,Bartow County,105,Adairsville High School,Economics: Micro,17,17,8
2018-19,608,Bartow County,105,Adairsville High School,Eng. Language & Comp,13,13,2
2018-19,608,Bartow County,105,Adairsville High School,Eng. Literature & Comp,TFS,,
2018-19,608,Bartow County,105,Adairsville High School,Environmental Science,25,25,9
2018-19,608,Bartow County,105,Adairsville High School,Geography: Human,20,20,5
2018-19,608,Bartow County,105,Adairsville High School,Gov. & Pol. U.S.,12,12,6
2018-19,608,Bartow County,105,Adairsville High School,Psychology,TFS,,
2018-19,608,Bartow County,105,Adairsville High School,Spanish Language,TFS,,
2018-19,608,Bartow County,105,Adairsville High School,Statistics,TFS,,
2018-19,608,Bartow County,105,Adairsville High School,U.S. History,20,20,8
2018-19,608,Bartow County,105,Adairsville High School,World History,17,17,5
2018-19,608,Bartow County,114,Cass High School,ALL Subjects,178,321,158
2018-19,608,Bartow County,114,Cass High School,Biology,17,17,8
2018-19,608,Bartow County,114,Cass High School,Calculus A,18,18,3
2018-19,608,Bartow County,114,Cass High School,Calculus BC,TFS,,
2018-19,608,Bartow County,114,Cass High School,Chemistry,TFS,,
2018-19,608,Bartow County,114,Cass High School,Economics: Micro,71,71,51
2018-19,608,Bartow County,114,Cass High School,Eng. Language & Comp,24,24,11
2018-19,608,Bartow County,114,Cass High School,Eng. Literature & Comp,17,17,13
2018-19,608,Bartow County,114,Cass High School,Environmental Science,TFS,,
2018-19,608,Bartow County,114,Cass High School,Gov. & Pol. U.S.,22,22,12
2018-19,608,Bartow County,114,Cass High School,Psychology,63,63,36
2018-19,608,Bartow County,114,Cass High School,Spanish Language,12,12,7
2018-19,608,Bartow County,114,Cass High School,Statistics,11,11,1
2018-19,608,Bartow County,114,Cass High School,U.S. History,36,36,7
2018-19,608,Bartow County,114,Cass High School,World History,12,12,6
2018-19,608,Bartow County,198,Woodland High School,ALL Subjects,193,290,137
2018-19,608,Bartow County,198,Woodland High School,Biology,12,12,4
2018-19,608,Bartow County,198,Woodland High School,Calculus A,TFS,,
2018-19,608,Bartow County,198,Woodland High School,Calculus BC,TFS,,
2018-19,608,Bartow County,198,Woodland High School,Economics: Micro,19,19,8
2018-19,608,Bartow County,198,Woodland High School,Eng. Language & Comp,22,22,10
2018-19,608,Bartow County,198,Woodland High School,Eng. Literature & Comp,10,10,4
2018-19,608,Bartow County,198,Woodland High School,Environmental Science,46,46,16
2018-19,608,Bartow County,198,Woodland High School,Geography: Human,TFS,,
2018-19,608,Bartow County,198,Woodland High School,Gov. & Pol. U.S.,34,34,17
2018-19,608,Bartow County,198,Woodland High School,Physics 1,TFS,,
2018-19,608,Bartow County,198,Woodland High School,Psychology,40,40,27
2018-19,608,Bartow County,198,Woodland High School,Spanish Language,16,16,13
2018-19,608,Bartow County,198,Woodland High School,Statistics,TFS,,
2018-19,608,Bartow County,198,Woodland High School,U.S. History,31,31,13
2018-19,608,Bartow County,198,Woodland High School,World History,29,29,10
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,490,808,376
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio 2-D Design,TFS,,
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio Drawing,TFS,,
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Biology,67,67,28
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,24,24,6
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Calculus BC,10,10,8
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Chemistry,TFS,,
