"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2020-21","610","Berrien County","0101","Berrien High School","All Students","WritLang Test  Score - New",687305,26245,"61","55",277,"264","263"
"2020-21","610","Berrien County","0106","Berrien Academy Performance Learning Center","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"61","TFS",1094,"1040","TFS"
"2020-21","610","Berrien County","0106","Berrien Academy Performance Learning Center","All Students","Math Section Score - New",687305,26246,"61","TFS",539,"508","TFS"
"2020-21","610","Berrien County","0106","Berrien Academy Performance Learning Center","All Students","Reading Test  Score - New",687305,26245,"61","TFS",279,"267","TFS"
"2020-21","610","Berrien County","0106","Berrien Academy Performance Learning Center","All Students","WritLang Test  Score - New",687305,26245,"61","TFS",277,"264","TFS"
"2020-21","611","Bibb County","0105","Howard High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"122","30",1094,"975","996"
"2020-21","611","Bibb County","0105","Howard High School","All Students","Essay Analysis Score - New",1509133,7921,"30","TFS",4,"3","TFS"
"2020-21","611","Bibb County","0105","Howard High School","All Students","Essay Reading Score - New",1509133,7920,"30","TFS",5,"5","TFS"
"2020-21","611","Bibb County","0105","Howard High School","All Students","Essay Total",1509133,7920,"30","TFS",14,"13","TFS"
"2020-21","611","Bibb County","0105","Howard High School","All Students","Essay Writing Score - New",1509133,7920,"30","TFS",5,"5","TFS"
"2020-21","611","Bibb County","0105","Howard High School","All Students","Math Section Score - New",687305,26246,"122","30",539,"472","482"
"2020-21","611","Bibb County","0105","Howard High School","All Students","Reading Test  Score - New",687305,26245,"122","30",279,"252","257"
"2020-21","611","Bibb County","0105","Howard High School","All Students","WritLang Test  Score - New",687305,26245,"122","30",277,"250","257"
"2020-21","611","Bibb County","0186","Central High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"122","40",1094,"975","931"
"2020-21","611","Bibb County","0186","Central High School","All Students","Essay Analysis Score - New",1509133,7921,"30","10",4,"3","3"
"2020-21","611","Bibb County","0186","Central High School","All Students","Essay Reading Score - New",1509133,7920,"30","10",5,"5","5"
"2020-21","611","Bibb County","0186","Central High School","All Students","Essay Total",1509133,7920,"30","10",14,"13","13"
"2020-21","611","Bibb County","0186","Central High School","All Students","Essay Writing Score - New",1509133,7920,"30","10",5,"5","5"
"2020-21","611","Bibb County","0186","Central High School","All Students","Math Section Score - New",687305,26246,"122","40",539,"472","443"
"2020-21","611","Bibb County","0186","Central High School","All Students","Reading Test  Score - New",687305,26245,"122","40",279,"252","244"
"2020-21","611","Bibb County","0186","Central High School","All Students","WritLang Test  Score - New",687305,26245,"122","40",277,"250","244"
"2020-21","611","Bibb County","0198","Westside High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"122","15",1094,"975","1021"
"2020-21","611","Bibb County","0198","Westside High School","All Students","Essay Analysis Score - New",1509133,7921,"30","TFS",4,"3","TFS"
"2020-21","611","Bibb County","0198","Westside High School","All Students","Essay Reading Score - New",1509133,7920,"30","TFS",5,"5","TFS"
"2020-21","611","Bibb County","0198","Westside High School","All Students","Essay Total",1509133,7920,"30","TFS",14,"13","TFS"
"2020-21","611","Bibb County","0198","Westside High School","All Students","Essay Writing Score - New",1509133,7920,"30","TFS",5,"5","TFS"
"2020-21","611","Bibb County","0198","Westside High School","All Students","Math Section Score - New",687305,26246,"122","15",539,"472","507"
"2020-21","611","Bibb County","0198","Westside High School","All Students","Reading Test  Score - New",687305,26245,"122","15",279,"252","259"
"2020-21","611","Bibb County","0198","Westside High School","All Students","WritLang Test  Score - New",687305,26245,"122","15",277,"250","256"
"2020-21","611","Bibb County","0204","Rutland High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"122","26",1094,"975","997"
"2020-21","611","Bibb County","0204","Rutland High School","All Students","Essay Analysis Score - New",1509133,7921,"30","TFS",4,"3","TFS"
"2020-21","611","Bibb County","0204","Rutland High School","All Students","Essay Reading Score - New",1509133,7920,"30","TFS",5,"5","TFS"
"2020-21","611","Bibb County","0204","Rutland High School","All Students","Essay Total",1509133,7920,"30","TFS",14,"13","TFS"
