LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2019-20,761,Atlanta Public Schools,4058,Douglass High School,4,Other Completers,Special Education Diplomas,Female,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,4,Other Completers,Special Education Diplomas,Total,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,4,Other Completers,Special Education Diplomas,Black,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,4,Other Completers,Special Education Diplomas,White,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,4,Other Completers,Special Education Diplomas,Hispanic,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,4,Other Completers,Special Education Diplomas,Asian,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,4,Other Completers,Special Education Diplomas,Multi,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,5,Other Completers,Certificates Of Attendance,Male,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,5,Other Completers,Certificates Of Attendance,Female,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,5,Other Completers,Certificates Of Attendance,Total,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,5,Other Completers,Certificates Of Attendance,Black,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,5,Other Completers,Certificates Of Attendance,White,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,5,Other Completers,Certificates Of Attendance,Asian,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,5,Other Completers,Certificates Of Attendance,Multi,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2019-20,761,Atlanta Public Schools,4560,Grady High School,0,Graduates,General Education Diplomas,Male,138,45.8
2019-20,761,Atlanta Public Schools,4560,Grady High School,0,Graduates,General Education Diplomas,Female,163,54.2
2019-20,761,Atlanta Public Schools,4560,Grady High School,0,Graduates,General Education Diplomas,Total,301,100
