LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,WritLang Test  Score - New,2220087,49344,90,90,259,238,238
2018-19,610,Berrien County,101,Berrien High School,All Students,Combined Test Score,2220087,49344,76,71,1027,1002,1011
2018-19,610,Berrien County,101,Berrien High School,All Students,Essay Analysis Score - New,1747071,19599,33,30,3,3,3
2018-19,610,Berrien County,101,Berrien High School,All Students,Essay Reading Score - New,1747071,19599,33,30,5,5,5
2018-19,610,Berrien County,101,Berrien High School,All Students,Essay Total,1747071,19599,33,30,13,13,13
2018-19,610,Berrien County,101,Berrien High School,All Students,Essay Writing Score - New,1747071,19599,33,30,5,5,5
2018-19,610,Berrien County,101,Berrien High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,76,71,523,507,510
2018-19,610,Berrien County,101,Berrien High School,All Students,Math Section Score - New,2220087,49344,76,71,504,495,501
2018-19,610,Berrien County,101,Berrien High School,All Students,Reading Test  Score - New,2220087,49344,76,71,264,261,263
2018-19,610,Berrien County,101,Berrien High School,All Students,WritLang Test  Score - New,2220087,49344,76,71,259,246,247
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Combined Test Score,2220087,49344,76,TFS,1027,1002,
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Essay Analysis Score - New,1747071,19599,33,TFS,3,3,
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Essay Reading Score - New,1747071,19599,33,TFS,5,5,
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Essay Total,1747071,19599,33,TFS,13,13,
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Essay Writing Score - New,1747071,19599,33,TFS,5,5,
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Evidence Based Reading and Writing - New,1747071,49344,76,TFS,523,507,
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Math Section Score - New,2220087,49344,76,TFS,504,495,
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Reading Test  Score - New,2220087,49344,76,TFS,264,261,
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,WritLang Test  Score - New,2220087,49344,76,TFS,259,246,
2018-19,611,Bibb County,105,Howard High School,All Students,Combined Test Score,2220087,49344,663,153,1027,933,985
2018-19,611,Bibb County,105,Howard High School,All Students,Essay Analysis Score - New,1747071,19599,172,41,3,3,3
2018-19,611,Bibb County,105,Howard High School,All Students,Essay Reading Score - New,1747071,19599,172,41,5,4,4
2018-19,611,Bibb County,105,Howard High School,All Students,Essay Total,1747071,19599,172,41,13,12,12
2018-19,611,Bibb County,105,Howard High School,All Students,Essay Writing Score - New,1747071,19599,172,41,5,5,5
2018-19,611,Bibb County,105,Howard High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,663,153,523,478,505
2018-19,611,Bibb County,105,Howard High School,All Students,Math Section Score - New,2220087,49344,663,153,504,455,481
2018-19,611,Bibb County,105,Howard High School,All Students,Reading Test  Score - New,2220087,49344,663,153,264,242,255
2018-19,611,Bibb County,105,Howard High School,All Students,WritLang Test  Score - New,2220087,49344,663,153,259,236,250
2018-19,611,Bibb County,186,Central High School,All Students,Combined Test Score,2220087,49344,663,150,1027,933,932
2018-19,611,Bibb County,186,Central High School,All Students,Essay Analysis Score - New,1747071,19599,172,48,3,3,3
2018-19,611,Bibb County,186,Central High School,All Students,Essay Reading Score - New,1747071,19599,172,48,5,4,4
2018-19,611,Bibb County,186,Central High School,All Students,Essay Total,1747071,19599,172,48,13,12,12
2018-19,611,Bibb County,186,Central High School,All Students,Essay Writing Score - New,1747071,19599,172,48,5,5,5
2018-19,611,Bibb County,186,Central High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,663,150,523,478,477
2018-19,611,Bibb County,186,Central High School,All Students,Math Section Score - New,2220087,49344,663,150,504,455,455
