"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2020-21","726","Griffin-Spalding County","0187","Griffin High School","All Students","Writing Subscore",463733,2516,"TFS","TFS",6.4,6.9,,
"2020-21","622","Carroll County","0212","Mt. Zion High School","All Students","Composite",1295349,12574,"80","TFS",20.3,22.9,20.1,
"2020-21","761","Atlanta Public Schools","4058","Douglass High School","All Students","Writing Subscore",463733,2516,"150","TFS",6.4,6.9,6,
"2020-21","628","Cherokee County","5050","Cherokee High School","All Students","Mathematics",1295349,12574,"549","107",19.9,22,23.1,22.7
"2020-21","628","Cherokee County","5050","Cherokee High School","All Students","Writing Subscore",463733,2516,"89","19",6.4,6.9,6.8,6.5
"2020-21","628","Cherokee County","5050","Cherokee High School","All Students","Science",1295349,12574,"549","107",20.4,22.7,23.8,24.1
"2020-21","769","Chickamauga City","0211","Gordon Lee High School","All Students","Composite",1295349,12574,"44","44",20.3,22.9,21.4,21.4
"2020-21","747","Walton County","0205","Monroe Area High School","All Students","Reading",1295349,12574,"66","12",20.9,23.8,22.8,20.7
"2020-21","747","Walton County","0205","Monroe Area High School","All Students","Science",1295349,12574,"66","12",20.4,22.7,21.8,20.2
"2020-21","706","Muscogee County","0378","Spencer High School","All Students","English",1295349,12575,"224","TFS",19.6,22.5,22.6,
"2020-21","744","Union County","3050","Woody Gap High/Elementary School","All Students","Composite",1295349,12574,"12","TFS",20.3,22.9,22.5,
"2020-21","644","DeKalb County","1070","Tucker High School","All Students","Mathematics",1295349,12574,"448","35",19.9,22,21.2,19.6
"2020-21","656","Fayette County","0105","Whitewater High School","All Students","Mathematics",1295349,12574,"403","80",19.9,22,23.5,22.8
"2020-21","615","Bryan County","0502","Bryan County High School","All Students","Composite",1295349,12574,"59","TFS",20.3,22.9,22.7,
"2020-21","644","DeKalb County","0410","DeKalb School of the Arts","All Students","Mathematics",1295349,12574,"448","17",19.9,22,21.2,21.9
"2020-21","607","Barrow County","3052","Winder-Barrow High School","All Students","Reading",1295349,12574,"53","33",20.9,23.8,23.8,24.2
"2020-21","620","Camden County","0295","Camden County High School","All Students","Mathematics",1295349,12574,"81","81",19.9,22,21.2,21.2
"2020-21","660","Fulton County","0119","Cambridge High School","All Students","Mathematics",1295349,12574,"1314","177",19.9,22,24.5,25.2
"2020-21","648","Douglas County","4050","Douglas County High School","All Students","Mathematics",1295349,12574,"196","39",19.9,22,19,18.8
"2020-21","660","Fulton County","0386","Independence High School","All Students","Mathematics",1295349,12574,"1314","TFS",19.9,22,24.5,
"2020-21","648","Douglas County","0100","Chapel Hill High School","All Students","Composite",1295349,12574,"196","29",20.3,22.9,20,20.5
"2020-21","634","Coffee County","0114","Wiregrass Regional College and Career Academy","All Students","Writing Subscore",463733,2516,"TFS","TFS",6.4,6.9,,
"2020-21","625","Savannah-Chatham County","0411","Islands High School","All Students","Writing Subscore",463733,2516,"19","TFS",6.4,6.9,6.6,
