SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,TOTAL_Grad_Rate,PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Lottery_Revenues_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE,Federal_Revenues_Dollars per FTE,General Administration_Expenditures_Dollars per FTE,Instruction_Expenditures_Dollars per FTE,Instructional Support_Expenditures_Dollars per FTE,Local_Revenues_Dollars per FTE,Maintenance and Operations_Expenditures_Dollars per FTE,Media_Expenditures_Dollars per FTE,Other_Revenues_Dollars per FTE,Pupil Services_Expenditures_Dollars per FTE,Renovation and Capital Projects_Expenditures_Dollars per FTE,School Administration_Expenditures_Dollars per FTE,School food Services_Expenditures_Dollars per FTE,State Lottery_Revenues_Dollars per FTE,State Other_Revenues_Dollars per FTE,State QBE_Revenues_Dollars per FTE,Transportation_Expenditures_Dollars per FTE,SAT Combined Score
658,Forsyth County,3484,96.14,3624,5.040572411,24.6,51917,63.7,31.4,4.8,4.1,0.4,36.80385334,67.05,45.67771635,6.4701304,81.04538629,6764.203051,404.686626,4609.690375,691.3885367,70.99920874,1.601390681,200.0898033,14.39608413,557.5643521,16.38105052,0,81.73979544,4839.797253,399.166203,46.7,6.61,82.85,6915.11,413.72,4712.53,706.81,72.58,1.64,204.55,14.72,570,16.75,0,83.56,4947.77,408.07,1130
659,Franklin County,252,91.64,275,31.41097424,18.6,3826,56.5,34.8,8.7,9.5,2,35.19465199,55.65,0,33.63622844,318.8177784,6841.930243,463.3007919,3336.152376,691.6466466,161.4255463,0,363.8745086,0,641.5823393,6.580373758,0,272.1006587,7020.688186,756.6774778,0,35.87,339.97,7295.77,494.03,3557.45,737.53,172.13,0,388.01,0,684.14,7.02,0,290.15,7486.39,806.87,986
660,Fulton County,6565,85.46,7682,21.93883112,23.5,99581,62.1,30.6,7.3,8.9,2.1,40.53712,53.63,0,7.059515872,187.2467545,6828.023008,813.6299781,6768.430554,874.176761,154.3128363,7.905597152,667.3867639,1.233079704,605.3874659,0.111790904,0,93.88209658,4023.26485,539.1817698,0,7.51,199.28,7266.89,865.93,7203.47,930.36,164.23,8.41,710.28,1.31,644.3,0.12,0,99.92,4281.86,573.84,1033
776,Gainesville City,464,86.09,539,31.16966581,19.8,8375,57.9,31.9,10.2,10.2,2.4,39.32562049,42.8,0,19.63101851,320.7576943,5644.908116,456.5445194,3923.386537,807.6377743,131.0018412,103.559083,311.463711,0,701.1815594,9.553084179,0,96.93694687,5278.593791,503.2365767,0,19.16,313.02,5508.75,445.53,3828.75,788.16,127.84,101.06,303.95,0,684.27,9.32,0,94.6,5151.27,491.1,984
661,Gilmer County,261,90.31,289,30.08674102,19.7,4289,52.7,36.7,10.6,11.4,1.1,41.57679435,52.47,0,9.375218,293.4803264,6403.203586,302.4214969,4561.208324,832.705211,154.7282024,34.01190954,398.6180228,0,652.8807904,8.630424341,0,135.3211914,5172.793658,633.4114922,0,9.62,301.13,6570.18,310.31,4680.15,854.42,158.76,34.9,409.01,0,669.91,8.86,0,138.85,5307.68,649.93,1003
662,Glascock County,35,92.11,38,27.96934866,19.41111111,548,48,41.4,10.6,9.1,1.833333333,45.35452323,40,0,0,913.6364964,6434.551934,328.9594526,3087.525036,1033.131277,222.9061861,0,454.4740511,0,708.6313869,6.374160584,0,432.0411679,7604.824818,779.0910766,0,0,951.85,6703.68,342.72,3216.66,1076.34,232.23,0,473.48,0,738.27,6.64,0,450.11,7922.9,811.68,1025
663,Glynn County,778,93.51,832,35.16285625,20.8,13842,56.3,35.8,7.9,8.9,1.1,35.90265988,52.62,22.39132568,47.57127799,165.699162,6599.78206,434.281382,5777.987935,952.3026737,156.5686584,0,272.6979244,26.64458821,576.2256271,5.713263979,0,107.6989669,4258.535544,421.9757188,23.8,50.57,176.13,7015.37,461.63,6141.83,1012.27,166.43,0,289.87,28.32,612.51,6.07,0,114.48,4526.7,448.55,1053
664,Gordon County,460,93.5,492,26.09184329,19.4,6649,54.8,34.8,10.4,10.7,1.1,33.61572348,60.91,0,0.765075951,213.7003519,6091.102122,413.4907069,3026.951336,927.4660054,147.3185817,5.348774252,275.6721477,0,735.4399218,4.445480523,0,139.4542803,6504.528651,498.6908813,0,0.8,224.22,6391,433.85,3175.98,973.13,154.57,5.61,289.24,0,771.65,4.66,0,146.32,6824.78,523.24,1011
665,Grady County,246,89.78,274,41.0850968,18,4688,61.8,30.9,7.3,6.5,1.3,36.71713147,43.43,87.62665956,0,176.4839526,5657.336977,407.6846715,1996.012152,804.3811007,172.5500661,0.023523891,330.3970798,0,623.4487052,6.344319539,0,135.1333148,6708.287116,360.2751451,89.67,0,180.61,5789.48,417.21,2042.63,823.17,176.58,0.02,338.11,0,638.01,6.49,0,138.29,6864.97,368.69,923
666,Greene County,143,89.38,160,34.39412485,17.5,2544,63.8,30,6.1,5.1,1.833333333,57.72399588,61.7,0,5.964646226,565.8627241,5546.897476,376.8257193,10496.94856,783.7527358,177.8405582,9.275483491,392.3499017,0,539.2988758,8.242330975,0,222.0519104,4257.356525,608.2845401,0,6.08,577.21,5658.1,384.38,10707.39,799.47,181.41,9.46,400.22,0,550.11,8.41,0,226.5,4342.71,620.48,988
