SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,2018-19 5 year grad rate PROGRAM_TOTAL,2018-19 5 year grad rate PROGRAM_PERCENT,2018-19 5 year grad rate TOTAL_COUNT,2019-20 5 year grad rate PROGRAM_TOTAL,2019-20 5 year grad rate PROGRAM_PERCENT,2019-20 5 year grad rate TOTAL_COUNT,2020-21 5 year grad rate PROGRAM_TOTAL,2020-21 5 year grad rate PROGRAM_PERCENT,2020-21 5 year grad rate TOTAL_COUNT,2018-19 Attendance STUDENT_COUNT_ALL,2018-19 Attendance FIVE_OR_FEWER_PERCENT_ALL,2018-19 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2018-19 Attendance OVER_15_PERCENT_ALL,2018-19 Attendance CHRONIC_ABSENT_PERC_ALL,2019-20 Attendance STUDENT_COUNT_ALL,2019-20 Attendance FIVE_OR_FEWER_PERCENT_ALL,2019-20 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2019-20 Attendance OVER_15_PERCENT_ALL,2019-20 Attendance CHRONIC_ABSENT_PERC_ALL,2020-21 Attendance  STUDENT_COUNT_ALL,2020-21 Attendance FIVE_OR_FEWER_PERCENT_ALL,2020-21 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2020-21 Attendance OVER_15_PERCENT_ALL,2020-21 Attendance CHRONIC_ABSENT_PERC_ALL,2018-19 Completers PROGRAM_TOTAL,2019-20 Completers PROGRAM_TOTAL,2021-22 Completers PROGRAM_TOTAL,2018-19_Debt Services_x,2018-19_General Administration_x,2018-19_Instruction_x,2018-19_Instructional Support_x,2018-19_Maintenance and Operations_x,2018-19_Media_x,2018-19_Pupil Services_x,2018-19_Renovation and Capital Projects_x,2018-19_School Administration_x,2018-19_School food Services_x,2018-19_Transportation_x,2018-19_Debt Services_y,2018-19_General Administration_y,2018-19_Instruction_y,2018-19_Instructional Support_y,2018-19_Maintenance and Operations_y,2018-19_Media_y,2018-19_Pupil Services_y,2018-19_Renovation and Capital Projects_y,2018-19_School Administration_y,2018-19_School food Services_y,2018-19_Transportation_y,2019-20_Debt Services_x,2019-20_General Administration_x,2019-20_Instruction_x,2019-20_Instructional Support_x,2019-20_Maintenance and Operations_x,2019-20_Media_x,2019-20_Pupil Services_x,2019-20_Renovation and Capital Projects_x,2019-20_School Administration_x,2019-20_School food Services_x,2019-20_Transportation_x,2019-20_Debt Services_y,2019-20_General Administration_y,2019-20_Instruction_y,2019-20_Instructional Support_y,2019-20_Maintenance and Operations_y,2019-20_Media_y,2019-20_Pupil Services_y,2019-20_Renovation and Capital Projects_y,2019-20_School Administration_y,2019-20_School food Services_y,2019-20_Transportation_y,2020-21_Debt Services_x,2020-21_General Administration_x,2020-21_Instruction_x,2020-21_Instructional Support_x,2020-21_Maintenance and Operations_x,2020-21_Media_x,2020-21_Pupil Services_x,2020-21_Renovation and Capital Projects_x,2020-21_School Administration_x,2020-21_School food Services_x,2020-21_Transportation_x,2020-21_Debt Services_y,2020-21_General Administration_y,2020-21_Instruction_y,2020-21_Instructional Support_y,2020-21_Maintenance and Operations_y,2020-21_Media_y,2020-21_Pupil Services_y,2020-21_Renovation and Capital Projects_y,2020-21_School Administration_y,2020-21_School food Services_y,2020-21_Transportation_y,2018-19 SAT DSTRCT_AVG_SCORE_VAL,2019-20 SAT_DSTRCT_AVG_SCORE_VAL,2020-21 DSTRCT_AVG_SCORE_VAL
610,Berrien County,190,87.56,217,183,89.27,205,192,89.72,214,3265,41.9,43.9,14.2,15.1,3223,54.3,37.2,8.5,8.7,3171,19.6,37.2,43.1,41.7,196,184,196,0,823901.37,16074226.35,965673.16,1696886.92,433999.88,627836.78,0,1471598.78,21435.7,2157810.28,0,271.56,5298.03,318.28,559.29,143.05,206.93,0,485.04,7.07,711.21,0,892579.92,16638930.35,1156612.83,2071405.04,481377.06,837664.88,0,1577648.26,25245.85,1942928.08,0,293.52,5471.53,380.34,681.16,158.3,275.46,0,518.79,8.3,638.91,0,865293.7,16550066.67,926540.66,1709161.05,476638.57,747296.15,0,1554182.75,22360.66,1158244.65,0,297.15,5683.4,318.18,586.94,163.68,256.63,0,533.72,7.68,397.75,1002,1012,1040
611,Bibb County,1397,81.6,1712,1185,77.76,1524,1096,81.37,1347,25998,51,35.3,13.8,15.7,23508,59.5,31.5,9.1,11.3,22542,22.4,26.8,50.8,53.7,1344,1176,1093,600000,6299558.09,140660976.9,15002960.14,20026045.6,4414499.62,7795658.4,2273.76,16183360.22,0,10347935.17,25.99,272.9,6093.44,649.93,867.53,191.24,337.71,0.1,701.06,0,448.27,600000,5958718.4,128480294.1,16119411.43,20360868.8,4317177.23,8130889.64,20887,17453076.04,136141.45,9088558.36,28.52,283.2,6106.19,766.1,967.68,205.18,386.43,0.99,829.48,6.47,431.95,667414.49,3888787.52,122553955.2,12613571.78,18573486.75,4164763.22,6576111.7,0,16674913.8,120702.03,7683887.62,32.33,188.36,5935.97,610.95,899.62,201.72,318.52,0,807.66,5.85,372.17,933,915,975
612,Bleckley County,171,93.44,183,183,95.81,191,159,93.53,170,2600,56.4,35.1,8.5,9,2541,64.4,30.3,5.3,5.3,2534,66,27.8,6.2,5.6,178,183,169,0,800890,13994878.58,412746.38,1790244.72,300996.25,732677.45,0,1540265.26,23991.88,1834843.71,0,330.13,5768.71,170.13,737.94,124.07,302.01,0,634.9,9.89,756.32,0,975026.48,14589192.22,402025.58,1830690.77,307803.98,789470.05,0,1601847.53,29151.8,1755405.74,0,406.94,6088.98,167.79,764.06,128.47,329.5,0,668.55,12.17,732.64,0,949594.66,14368158.92,409961.72,1571984.41,310984.45,981784.72,0,1577307.03,29732.77,1929265.03,0,393.53,5954.48,169.9,651.46,128.88,406.87,0,653.67,12.32,799.53,1087,1107,1149
613,Brantley County,209,86.72,241,236,94.78,249,207,94.52,219,3546,50.2,38.5,11.3,11.6,3489,58.6,34.8,6.6,7.7,3477,39.4,36,24.6,23.8,210,240,225,0,955865.84,18083096.95,1181537.71,3372823.66,661461.25,892237.54,0,2463729.37,26370.35,2705538.53,0,290.89,5503.07,359.57,1026.42,201.3,271.53,0,749.77,8.03,823.35,0,971398.75,19863006.84,1127372.09,3478115.52,673294.72,1173156.33,95038.35,2566237.5,22453.3,2521268.62,0,298.71,6107.94,346.67,1069.53,207.04,360.75,29.22,789.13,6.9,775.3,0,759451.8,19079537.94,919124.28,3277008.74,695651.37,1232287.8,0,1659016.48,32958.25,2579019.33,0,237.03,5954.91,286.87,1022.79,217.12,384.61,0,517.8,10.29,804.94,1041,1034,1110
763,Bremen City,192,97.96,196,170,97.14,175,161,97.58,165,2313,64.2,31.6,4.2,4.2,2312,74.9,22.9,2.2,2.3,2279,61.8,32.1,6.1,5,193,169,181,0,1061525.03,13436903.55,554017,1917721.9,328026.01,670598.07,0,1507981.6,13299.69,171048.86,0,472,5974.61,246.34,852.7,145.85,298.18,0,670.51,5.91,76.06,0,1204459.95,14617362.29,481341.89,1946609.71,345592,681425.04,0,1609078.99,11841.81,131688.51,0,531.07,6445.05,212.23,858.29,152.38,300.45,0,709.47,5.22,58.06,0,1154003.42,13761818.57,404973.58,1840112.32,340961.72,797499.01,0,1353842.47,13207.45,135846.4,0,515.64,6149.16,180.95,822.21,152.35,356.34,0,604.93,5.9,60.7,1042,1129,1097
614,Brooks County,131,92.91,141,134,91.78,146,130,89.04,146,2342,45.4,38.3,16.4,17.5,2321,53.7,36.4,9.8,11,2266,37.8,35.1,27.1,28.6,144,125,140,0,1749276.93,11670013.38,173334.24,2265672.03,293552.33,1457167.37,0,1954339.77,21163.7,1638346.41,0,833.78,5562.45,82.62,1079.92,139.92,694.55,0,931.53,10.09,780.91,0,1900320.37,12764856.37,290312.81,2101152.49,352652.77,1421262.63,147144.51,2160719.04,21685.72,1533034.23,0,893.85,6004.17,136.55,988.31,165.88,668.51,69.21,1016.33,10.2,721.09,0,1927010.13,12496700.45,281274.13,2282940.97,428772.1,1470591.06,286415.54,1318928.64,23376.9,1416179.9,0,907.26,5883.57,132.43,1074.83,201.87,692.37,134.85,620.96,11.01,666.75,947,1025,925
615,Bryan County,656,91.24,719,650,94.2,690,666,95.14,700,9958,51.7,39.3,8.9,8.6,10055,68.9,26.8,4.3,4.5,10114,56.2,31.9,12,12.9,656,663,698,0,1132874.3,51537774.83,3896404.62,6333905.8,1254667.2,2848866.6,0,5124080.31,29512.08,4245261.03,0,119.73,5446.82,411.8,669.4,132.6,301.09,0,541.54,3.12,448.66,0,1983593.93,55530156.06,4186314.73,7286503.05,1364858.59,3088876.94,0,6038501.44,28557.54,4462710.61,0,207.53,5809.81,437.99,762.35,142.8,323.17,0,631.77,2.99,466.91,0,2123800.95,54883539.65,3804680.05,7559849.85,1541605.79,3398077.42,0,6224942.69,30819.35,4275264.11,0,222.67,5754.2,398.9,792.6,161.63,356.27,0,652.65,3.23,448.23,1063,1065,1095
764,Buford City,325,93.39,348,326,94.22,346,352,96.44,365,5113,63.7,31.9,4.5,4.1,5340,74.1,23.5,2.4,2.4,5664,52.8,33.1,14.1,12.4,328,319,393,0,3541210.81,34755480.78,309922.78,3823576.88,615394.17,2650029.27,59269.8,3385270.19,12916.61,1939873.19,0,697.09,6841.63,61.01,752.67,121.14,521.66,11.67,666.39,2.54,381.86,0,4083384.68,37562701.38,364629.67,4728888.09,744615.26,2558416.07,0,4052648.91,11610.79,1618919.31,0,769.58,7079.29,68.72,891.23,140.33,482.17,0,763.79,2.19,305.11,0,4538449.6,38709180.9,291206.02,4475903.24,772076.04,2846519.79,0,4061328.25,11283.84,1746543.33,0,814.51,6947.09,52.26,803.28,138.56,510.86,0,728.88,2.03,313.45,1112,1115,1165
616,Bulloch County,630,81.19,776,624,84.44,739,662,88.03,752,11180,45.3,41.1,13.5,14.7,11293,56.7,34.8,8.5,9.2,11381,51.1,32.9,16.1,17.7,633,619,648,0,1292616.03,61691757.22,3623720.58,7438476.09,1344557.69,3867736.3,0,7386913.15,71617.04,5805599.09,0,126.94,6058.31,355.86,730.48,132.04,379.82,0,725.42,7.03,570.13,0,1613651.35,66036304.43,4020738.67,9176401.26,1500788.53,4357861.39,0,7853272.88,73388.61,5800457.17,0,154.95,6341.11,386.09,881.16,144.11,418.46,0,754.11,7.05,556.99,0,1367844.69,52326766.85,3227592.78,8497068.44,1531733.15,7018021.32,23127,7722250.74,75079.31,5737088.99,0,131.21,5019.35,309.6,815.07,146.93,673.19,2.22,740.74,7.2,550.32,1043,1039,1100
617,Burke County,268,93.38,287,259,92.17,281,288,89.44,322,4197,56.6,35.1,8.3,8.6,4267,63.7,30.6,5.7,6,4191,67.7,21.2,11.1,12.2,258,258,284,0,2808921.33,30793340.27,1238864.95,4928653.24,696215.3,1682767.87,0,3955575.46,21414.59,5898678.99,0,716.93,7859.45,316.2,1257.95,177.7,429.5,0,1009.59,5.47,1505.53,0,2998978.83,32349828.09,1256507.76,4927194.72,723012.79,1729108.56,12000,4118078.98,21535.96,5328443.06,0,741.4,7997.49,310.63,1218.1,178.74,427.47,2.97,1018.07,5.32,1317.29,0,3045963.03,32261511.62,1197888.49,4622143.83,722340.05,1698413.11,0,3602474.04,21323.38,5423734.9,0,761.68,8067.39,299.55,1155.82,180.63,424.71,0,900.84,5.33,1356.27,969,975,1053
618,Butts County,217,85.43,254,208,89.66,232,216,90,240,3657,53.7,34.9,11.5,12.9,3558,58.7,33.1,8.3,9.1,3552,53.5,32,14.5,15.9,213,208,228,0,1240692.69,18807077.82,1280389.3,2156335.54,489998.58,1832003.38,0,2671764.32,39856.63,2240002.86,0,371.13,5625.81,383.01,645.03,146.57,548.01,0,799.21,11.92,670.06,0,1098671.83,20005457.43,1465022.93,2138590.58,495290.24,1710630.4,0,2739685.28,40489.15,2044778.19,0,324.86,5915.27,433.18,632.34,146.45,505.8,0,810.08,11.97,604.61,0,1243255.84,18838005.12,1429548.23,1644364.28,491782.66,1635393.91,0,2879772.4,42754.27,769068.5,0,378.35,5732.81,435.04,500.42,149.66,497.69,0,876.38,13.01,234.04,951,971,1066
765,Calhoun City,253,98.06,258,266,100,266,273,100,273,4146,52.9,38,9.1,9,4186,63.1,30.2,6.7,6.9,4142,46.1,38.1,15.8,13.6,252,267,300,0,1038119.59,20033745.91,1637101.49,3011148.69,387274.75,1198284.04,0,2114734.92,28627.04,1147443.05,0,255.32,4927.14,402.63,740.57,95.25,294.71,0,520.1,7.04,282.2,46052.9,1006529.73,21318889.86,1843176.27,3228712.54,382645.13,1930685.96,0,2187660.94,32515.27,981603.35,10.99,240.22,5088.04,439.9,770.58,91.32,460.78,0,522.11,7.76,234.27,55263.48,1048561.54,19983495.23,1579411.9,2872037.23,326788.88,2109204.53,0,2244935.59,32550.21,1153405.81,13.32,252.79,4817.62,380.76,692.39,78.78,508.49,0,541.21,7.85,278.06,1026,1033,1094
619,Calhoun County,47,90.38,52,52,92.86,56,38,88.37,43,561,69.7,23.2,7.1,5.5,520,62.9,29.4,7.7,5.6,499,36.1,27.9,36.1,37.9,45,53,28,0,1151677.56,2902079.52,128094.87,699721.52,177610.92,146613.07,0,719060.61,3782.48,583917.76,0,2185.35,5506.79,243.06,1327.74,337.02,278.2,0,1364.44,7.18,1108,0,814483.8,3069089.4,284139.3,653340.11,161662.99,153115.27,90000,632473.74,3728.18,457047.45,0,1590.79,5994.32,554.96,1276.05,315.75,299.05,175.78,1235.3,7.28,892.67,0,807260.08,3067924.13,219514.4,626901.94,76059.6,149401,0,605094.38,4839.7,497068.09,0,1710.3,6499.84,465.07,1328.18,161.14,316.53,0,1281.98,10.25,1053.11,888,866,
620,Camden County,555,95.85,579,575,96.15,598,540,92.78,582,9953,48.8,37.8,13.3,14.2,9771,61,32,7,7.4,9754,52.1,33.3,14.6,14.6,556,567,560,0,1181600.31,52447647.96,3449240.12,6371187.21,1606624.65,3314316.57,0,5819962.19,41889.33,3731118.99,0,129.76,5759.68,378.79,699.67,176.44,363.97,0,639.13,4.6,409.74,0,1158024.14,54795477.69,4659103.8,7060733.01,1710024.59,3486865.71,0,6127286.13,41803.21,3968036.05,0,128.16,6064.13,515.62,781.4,189.25,385.89,0,678.1,4.63,439.14,0,1218570.75,48455502.07,5962035.98,6356985.39,1661283.45,3817515.48,0,6010606.6,43516.66,3742490.99,0,136.46,5426.15,667.64,711.87,186.03,427.49,0,673.08,4.87,419.09,1048,1055,1073
621,Candler County,117,93.6,125,127,96.21,132,150,95.54,157,2236,58.5,34.9,6.6,7.3,2240,68.5,27.4,4.1,5.4,2297,57.6,31.1,11.3,12.4,117,128,153,0,845002.53,11352349.38,574446.35,1539201.7,279543.82,544195.76,0,1172028.8,14091.59,860306.98,0,396.9,5332.24,269.82,722.97,131.3,255.61,0,550.51,6.62,404.09,0,888405.03,12223180.04,563771.22,1361115.56,328332.49,590726.97,0,1474577.87,16716.13,1170717.72,0,422.25,5809.5,267.95,646.92,156.05,280.76,0,700.84,7.94,556.42,0,661090.25,12280514.8,386982.59,1366103.86,301123.6,705188.32,0,1408965.24,14451,1186606.15,0,311.39,5784.51,182.28,643.48,141.84,332.17,0,663.67,6.81,558.93,998,1011,973
622,Carroll County,979,94.04,1041,952,95.49,997,951,93.69,1015,15871,45.3,41.7,13.1,13.6,15579,56.7,35.7,7.6,8.5,15614,33.3,37.3,29.4,30.8,981,962,925,422702.66,1928540.09,87079774.12,3405217.82,12360705.52,2296921.09,4372228.74,493037.18,10633289.81,84423.26,8660799.97,28.81,131.43,5934.29,232.06,842.35,156.53,297.96,33.6,724.63,5.75,590.21,401204.38,2795967.9,92571881.94,3751633.21,12449526.42,2384382.64,4686023.02,9200,11487285.74,72649.22,8254525.01,27.56,192.04,6358.4,257.68,855.11,163.77,321.86,0.63,789.02,4.99,566.97,201056.16,2741319.4,91988719.85,3810068.38,9895398.25,2449242.48,5575811.72,0,11158141.93,79320.81,7835326.51,13.79,187.99,6308.37,261.29,678.6,167.96,382.38,0,765.2,5.44,537.33,1022,1013,1047
