SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,2018-19 5 year grad rate PROGRAM_TOTAL,2018-19 5 year grad rate PROGRAM_PERCENT,2018-19 5 year grad rate TOTAL_COUNT,2018-19 Attendance STUDENT_COUNT_ALL,2018-19 Attendance FIVE_OR_FEWER_PERCENT_ALL,2018-19 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2018-19 Attendance OVER_15_PERCENT_ALL,2018-19 Attendance CHRONIC_ABSENT_PERC_ALL,2018-19 Completers PROGRAM_TOTAL,2019-20 Completers PROGRAM_TOTAL,2021-22 Completers PROGRAM_TOTAL,2018-19_Debt Services_x,2018-19_General Administration_x,2018-19_Instruction_x,2018-19_Instructional Support_x,2018-19_Maintenance and Operations_x,2018-19_Media_x,2018-19_Pupil Services_x,2018-19_Renovation and Capital Projects_x,2018-19_School Administration_x,2018-19_School food Services_x,2018-19_Transportation_x,2018-19_Debt Services_y,2018-19_General Administration_y,2018-19_Instruction_y,2018-19_Instructional Support_y,2018-19_Maintenance and Operations_y,2018-19_Media_y,2018-19_Pupil Services_y,2018-19_Renovation and Capital Projects_y,2018-19_School Administration_y,2018-19_School food Services_y,2018-19_Transportation_y,2018-19 SAT DSTRCT_AVG_SCORE_VAL
707,Newton County,1329,89.08,1492,21164,45.5,40.4,14.1,14.3,1324,1370,1270,0,2414475.87,124271469.6,7339171.84,15109007,2626440.59,4246709.67,0,12689990.31,100339.5,11147568.28,0,125.32,6450.3,380.94,784.23,136.33,220.43,0,658.67,5.21,578.61,972
708,Oconee County,591,98.99,597,8258,63.1,31.5,5.4,4.7,593,603,608,29870.4,1226298.51,53138813.34,1797877.76,5668550.45,1304553.14,2556242.84,0,5430394.07,336487.7,4555299.4,3.69,151.54,6566.83,222.18,700.51,161.22,315.9,0,671.08,41.58,562.94,1132
709,Oglethorpe County,129,95.56,135,2166,41.8,44.9,13.3,12.5,127,137,132,0,698428.64,14365879.59,754409.33,1639270.32,384200.16,805352.71,0,1548534.87,15433.82,1644316.71,0,337.41,6940.04,364.45,791.92,185.6,389.06,0,748.08,7.46,794.36,1016
710,Paulding County,2118,91.65,2311,32244,46.3,39.9,13.8,13.8,2133,2114,2224,0,2760324.68,187466273.4,13707379.08,20256406.97,4842216.66,9876483.02,0,18360584.11,128980.24,15467518.31,0,92.16,6258.68,457.63,676.27,161.66,329.73,0,612.98,4.31,516.39,1025
711,Peach County,221,85.66,258,3829,45.3,40.5,14.2,13.9,218,225,186,0,1297101.77,19148237.81,1246244.95,3130289.65,572860.75,1219028.94,0,2308203.48,22186.18,2223549.83,0,366.93,5416.76,352.54,885.51,162.05,344.85,0,652.96,6.28,629.01,963
784,Pelham City,75,83.33,90,1463,58.8,34.8,6.4,6.8,79,104,82,0,533218.84,8564976.14,404745.81,1050092.3,168286.26,428233.2,0,1159627.12,11823.94,435752.8,0,391.5,6288.53,297.17,770.99,123.56,314.41,0,851.41,8.68,319.94,972
712,Pickens County,281,93.98,299,4565,43,41.9,15.2,14.8,281,301,244,0,1036224.32,29746784.28,2506596.1,3939848.6,900641.93,1700644.99,0,2340802.56,23119.91,3297353.6,0,243.02,6976.26,587.85,923.98,211.22,398.84,0,548.97,5.42,773.3,1054
713,Pierce County,236,87.08,271,3774,54.6,39.2,6.3,7.2,239,247,215,0,926140.1,20713864.5,1284149.6,2246568.15,660660.3,2018335,0,2260216.7,23227.99,2138662.46,0,262.88,5879.61,364.5,637.69,187.53,572.9,0,641.56,6.59,607.06,1080
714,Pike County,281,94.93,296,3373,46.7,42.1,11.3,11.2,287,258,267,0,885342.18,17463843.55,1037359.71,2096218.02,375850.33,2257801.74,0,1884555.7,32022.06,2073213.01,0,276.84,5460.86,324.38,655.48,117.53,706,0,589.29,10.01,648.28,1022
715,Polk County,454,84.39,538,8290,47.9,34.9,17.2,17.2,442,517,503,0,1031893.87,45052491.17,1133426.73,6332405.41,1084161.29,1281212.66,0,4214709.44,53839.79,2966688.16,0,133.53,5829.77,146.66,819.41,140.29,165.79,0,545.38,6.97,383.89,1013
716,Pulaski County,93,88.57,105,1372,43.7,37.8,18.4,18.1,87,92,67,0,976810.72,7072585.68,201462.93,916848.88,170385.62,507916.05,0,932327.12,12629.07,867611.72,0,754.88,5465.68,155.69,708.54,131.67,392.52,0,720.5,9.76,670.49,990
717,Putnam County,182,93.33,195,3031,40.1,44.3,15.5,14.3,159,168,181,127492.57,1319316.1,19598912.87,1282179.27,5637172.03,496286.95,1069074.18,2870,1894128.94,15301.14,2895966,44.62,461.78,6859.96,448.79,1973.11,173.71,374.19,1,662.98,5.36,1013.64,1062
718,Quitman County,25,86.21,29,320,49.7,40.6,9.7,5.9,22,19,19,1250,683472.77,2195970.04,173772.76,385833.33,66046.65,101805.28,0,302533.67,6435.61,295732.86,4.22,2309.03,7418.82,587.07,1303.49,223.13,343.94,0,1022.07,21.74,999.1,
719,Rabun County,140,92.72,151,2241,44.4,42.2,13.3,11.6,137,141,156,81348.07,1023467.35,17006754.41,789561.51,2985307.02,424548.68,897013.29,0,1962356.62,172956.53,2364171.37,37.64,473.61,7869.85,365.37,1381.45,196.46,415.09,0,908.08,80.04,1094.02,1009
720,Randolph County,53,84.13,63,788,53.6,32.6,13.8,14.1,52,55,49,0,701920.86,4351121.69,721354.34,1267177.92,189714.5,326320.51,82590.45,928864.76,15607.18,1112588.26,0,973.54,6034.84,1000.49,1757.53,263.13,452.59,114.55,1288.3,21.65,1543.12,850
721,Richmond County,1710,77.94,2194,35128,48.2,34.6,17.2,20.8,1623,1717,1502,0,6177543.75,156751590.7,9407631.43,28856769.95,4792267.15,8646237.49,0,24775925.62,332619.62,14706950.8,0,206.7,5244.98,314.78,965.56,160.35,289.31,0,829.01,11.13,492.1,961
722,Rockdale County,1207,85.48,1412,18511,50.4,37,12.6,14.3,1223,1143,1075,0,4528272.88,104783502.1,9959389.14,12090699.81,2950837.33,6252430.55,0,12021088.94,99711.57,8865356.8,0,273.68,6332.86,601.92,730.73,178.34,377.88,0,726.53,6.03,535.8,971
785,Rome City,461,96.24,479,6841,59.9,29.8,10.3,11.1,460,418,412,0,1759366.37,39288138.77,830239.46,5401758.88,1173757.79,2631752.78,0,3701418.3,34839.57,2581341.57,0,270.88,6048.98,127.83,831.68,180.72,405.2,0,569.89,5.36,397.44,1038
625,Savannah-Chatham County,2085,88.65,2352,40108,61.4,31.2,7.4,8.5,2044,2035,1999,0,11696997.7,245852348,11948525.19,38593656.25,6563558.88,16080272.33,343126.61,26349556.69,100356.31,28063819.48,0,323.39,6797.13,330.34,1067.01,181.46,444.57,9.49,728.49,2.77,775.89,982
723,Schley County,86,91.49,94,1297,58.6,36.9,4.5,5.7,84,83,102,0,633836.45,7487253.69,106601.42,1033752.89,247446.17,413133.12,0,747668.4,5634.93,468920.46,0,506.66,5985.01,85.21,826.34,197.8,330.24,0,597.66,4.5,374.84,1014
724,Screven County,135,85.44,158,2380,41.7,42.3,16.1,14.5,132,125,90,0,705738.45,12844569.06,746220.34,1865534.3,375290.86,1056627.77,0,1581736.2,17012.64,1685121.22,0,317.76,5783.24,335.98,839.95,168.97,475.74,0,712.17,7.66,758.72,1002
725,Seminole County,90,86.54,104,1453,57.9,31.6,10.5,9.9,95,95,91,0,485251.09,8317465.5,254653.25,1366946.83,437003.62,773576.96,0,849076.99,25069.53,757243.66,0,348.35,5970.9,182.81,981.3,313.71,555.33,0,609.53,18,543.61,969
786,Social Circle City,110,95.65,115,1823,47.6,40.8,11.6,10.8,109,101,119,0,998182.63,10700779.27,492043.25,1396447.64,409455.28,660720.32,0,1504382.17,71658.38,895409.74,0,571.7,6128.74,281.81,799.8,234.51,378.42,0,861.62,41.04,512.83,1036
727,Stephens County,247,93.21,265,4044,34.6,45.5,19.9,19.1,245,235,236,0,1133866.39,23923519.6,882218.01,2918023.37,401035.51,1424005.15,0,2098135.04,33558.1,2211099.04,0,296.44,6254.51,230.65,762.88,104.85,372.29,0,548.53,8.77,578.07,1032
728,Stewart County,31,96.88,32,463,51.6,42.1,6.3,6.7,32,25,23,0,598167.79,3167470.12,392989.78,662893.92,63063.57,536461.76,0,606524.05,0,540781.29,0,1384.65,7332.11,909.7,1534.48,145.98,1241.81,0,1403.99,0,1251.81,880
729,Sumter County,237,90.11,263,4461,56,36.5,7.5,7.2,236,271,230,0,1114137.58,23704039.62,1386548.8,3521335.33,686373.73,1394603.59,0,2623567.59,0,3012219.66,0,260.37,5539.62,324.04,822.93,160.41,325.92,0,613.13,0,703.95,914
730,Talbot County,29,82.86,35,469,65.5,32,2.6,0,29,28,29,0,733085.4,3639098.72,186770.14,723060.68,101224.55,386474.2,0,538866.67,2974.09,434836.98,0,1669.9,8289.52,425.44,1647.06,230.58,880.35,0,1227.49,6.77,990.52,897
731,Taliaferro County,,,,174,64.9,27,8,8,TFS,11,11,0,381118.63,1963983.34,346770.21,350086.18,91824.88,172543.96,0,217942.81,6587.3,279325.49,0,2381.99,12274.9,2167.31,2188.04,573.91,1078.4,0,1362.14,41.17,1745.78,
732,Tattnall County,199,92.13,216,3844,48.9,40.2,11,11,191,200,217,106672.43,1176918.98,20201010.85,1236313.28,2400959.41,531213.7,1316772.28,0,2178541.68,33336.73,2027573.41,29.48,325.21,5581.93,341.62,663.43,146.78,363.85,0,601.97,9.21,560.26,988
733,Taylor County,85,79.44,107,1510,46.2,42.5,11.4,10.5,83,98,84,0,723635.46,8661507.62,242762.13,1267603.09,255114.63,511165.81,0,835487.13,8569.41,830405.7,0,529.36,6336.14,177.59,927.29,186.62,373.93,0,611.18,6.27,607.47,934
734,Telfair County,97,85.84,113,1772,37,44.8,18.2,18.8,98,119,97,0,764906.73,10112187.53,378824.08,1337993.56,218919.33,446695.43,0,1149780.97,18722.69,1110131.25,0,470.13,6215.24,232.84,822.37,134.55,274.55,0,706.69,11.51,682.32,908
735,Terrell County,79,87.78,90,1276,52.8,43.7,3.5,4.2,78,88,70,121928.31,612944.87,6903095.09,714344.01,1641419.32,275412.85,435292.52,0,1030381.23,9154.4,1076278.86,100.85,506.99,5709.76,590.86,1357.67,227.8,360.04,0,852.26,7.57,890.22,912
736,Thomas County,342,96.07,356,5923,46.7,39.4,13.9,13.8,339,348,349,0,1453237.41,33433232.67,3155723.48,4662651.19,685629.34,2292232.43,0,3027532.94,40349.49,3268189.75,0,261.56,6017.5,567.98,839.21,123.4,412.57,0,544.91,7.26,588.23,980
745,Thomaston-Upson County,297,92.52,321,4177,46.7,40.7,12.5,12.7,295,303,247,0,1166041.22,21842595.37,1096930,3202753.1,510318.85,1380028.77,59958.91,2656161.31,33319.75,2356239.94,0,293.57,5499.14,276.17,806.33,128.48,347.44,15.1,668.72,8.39,593.21,973
789,Thomasville City,182,79.82,228,2913,64.8,27.5,7.7,8.2,173,145,181,0,1080135.87,16529606.1,1093038.19,2595570.94,378261.1,1872956.04,26289,2293272.53,37439.91,537723.65,0,401.69,6147.12,406.49,965.26,140.67,696.53,9.78,852.83,13.92,199.97,1080
737,Tift County,477,82.96,575,8191,47.7,38.8,13.5,14.3,452,520,483,0,1299048.2,46139751.24,1514341.6,4887534.47,1291490.66,2986261.24,0,5876994.67,53835.62,2064653.51,0,169.54,6021.89,197.64,637.89,168.56,389.75,0,767.03,7.03,269.47,984
738,Toombs County,173,91.53,189,2996,44.6,42.7,12.8,15.1,172,174,174,4282.07,561076.26,17282367.35,293343.8,1861550.82,466555.26,834922.99,0,1561929.92,32752.17,1438508,1.53,199.96,6159.08,104.54,663.42,166.27,297.55,0,556.64,11.67,512.65,976
739,Towns County,83,98.81,84,1001,53.9,36.9,9.2,9.5,84,58,68,0,669928.13,8167642.58,44471.46,1126325.75,244148.68,1034613.15,0,853515.77,12562.34,718184.5,0,707.42,8624.75,46.96,1189.36,257.81,1092.52,0,901.28,13.27,758.38,1091
740,Treutlen County,68,86.08,79,1127,36.9,39.3,23.8,21.3,67,52,84,0,693486.15,6297382.79,208815.75,777691.08,152652.54,233675.59,0,655179.26,5659.18,649114.32,0,664.9,6037.76,200.21,745.63,146.36,224.04,0,628.17,5.43,622.35,976
791,Trion City,104,98.11,106,1335,60.2,33.3,6.5,4.9,104,113,89,23190,557525.9,8141274.01,132437.8,1763419.01,238672.33,329893.36,0,1261320.2,56425.98,15531.62,17.36,417.31,6093.77,99.13,1319.92,178.65,246.93,0,944.1,42.24,11.63,1085
741,Troup County,769,88.19,872,12666,51.8,35.4,12.8,13.5,766,712,739,0,2713908.77,68776648.67,4363490.19,11003443.43,2200418.59,7242139.42,0,8145437.64,80878.36,9369215.73,0,232.38,5888.92,373.62,942.16,188.41,620.1,0,697.44,6.93,802.23,1024
742,Turner County,86,91.49,94,1287,44,42,14,12.9,84,84,75,0,1102462.12,6402858.85,864473.48,1116345.67,216706.07,376093.46,0,1107099.45,6183.57,852831.93,0,947.95,5505.47,743.31,959.88,186.33,323.38,0,951.93,5.32,733.3,971
743,Twiggs County,53,89.83,59,808,47.5,37.6,14.9,15.1,53,63,40,0,889678.03,4308134.25,59300.51,1247448.48,123357.79,547918.44,0,728736.59,14404.74,650635.85,0,1192.6,5774.98,79.49,1672.18,165.36,734.48,0,976.86,19.31,872.17,846
744,Union County,211,99.53,212,2940,35.3,47,17.6,16.6,213,197,218,0,1049516.41,19433096.52,939811.46,4020143.22,443974.02,949015.64,0,1762028.96,27461.35,1482447.54,0,376.98,6980.28,337.58,1444.02,159.47,340.88,0,632.91,9.86,532.49,1076
792,Valdosta City,445,87.43,509,9491,48.9,37.6,13.5,17.7,452,429,490,0,1779621.83,45572920.11,2766048.88,9092015.51,1030497.88,3226160.82,0,5384154.52,54798.61,3045304.78,0,215.74,5524.66,335.32,1102.2,124.92,391.1,0,652.7,6.64,369.17,984
793,Vidalia City,158,96.34,164,2590,58.4,33.9,7.7,7.1,159,167,176,0,746681.83,13104011.35,519998.2,2019828.79,438028.42,1183016.82,0,1318855.99,18175.49,660303.41,0,307.15,5390.38,213.9,830.86,180.18,486.64,0,542.52,7.48,271.62,1019
746,Walker County,564,88.82,635,8978,43.5,39.1,17.4,17.2,564,505,539,0,1014010.74,59422734.38,2204825.81,7394459.78,1430666.59,4301481.59,0,6568334.3,66255.82,5367162.07,0,121.5,7119.91,264.18,885.99,171.42,515.39,0,787,7.94,643.08,1147
747,Walton County,869,91.67,948,14607,43.5,42.3,14.3,13.5,872,894,984,0,2721632.74,83831002.52,3871518.52,10461867.98,1800154.35,4173789.33,0,9307934.42,53557.51,7454051.75,0,199.37,6141.02,283.61,766.38,131.87,305.75,0,681.85,3.92,546.04,1024
748,Ware County,322,88.22,365,6501,52.4,36.4,11.2,12.4,317,314,341,0,1083772.63,36713104.94,1636040.36,5254189.48,1164658.01,2954755.22,63984,4143192.75,36532.47,3667147.88,0,185.2,6273.6,279.57,897.85,199.02,504.91,10.93,708,6.24,626.65,1006
749,Warren County,32,91.43,35,633,62.1,30.3,7.6,7.6,30,40,40,0,796404.8,4253666.52,397526.67,739933.03,102823.4,291836.88,0,506112.39,4644.46,704215.44,0,1327.34,7089.44,662.54,1233.22,171.37,486.39,0,843.52,7.74,1173.69,954
750,Washington County,211,90.56,233,3146,43.9,41.2,14.9,13.9,209,196,210,0,1684560.32,16360261.4,1320726.47,2940481.12,442238.46,995160.11,0,2568859.99,17889.31,2239935.39,0,550.15,5343,431.33,960.31,144.43,325,0,838.95,5.84,731.53,899
751,Wayne County,317,94.63,335,5595,47.3,39,13.7,14.8,313,329,276,0,1670948.82,30754487.57,1266144.39,3823208.34,1015194.21,1963633.29,0,2916495.03,58811.38,2801804.72,0,322.83,5941.75,244.62,738.64,196.13,379.37,0,563.47,11.36,541.31,1021
